レースコード,レース場,レース回,風向,風速,波の高さ,スタンド距離,級別,3連複_結果,全国勝率_Zスコア,全国2連対率_Zスコア,当地勝率_Zスコア,当地2連対率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア,展示タイム_Zスコア,predict_result
20240611FKO01,19,0,1,2.0,2.0,50.0,0,1,1.3336529907367831,1.7367634149110365,1.1984179810474034,1.5004257685031326,0.9149094810435524,-0.2348531404937724,-0.2531848417709535,1
20240611FKO02,19,1,1,3.0,3.0,50.0,2,0,-1.189552786728926,-0.5049814657000884,0.2629937456187502,-0.1618856730163713,0.0693265579546652,0.5945303245378916,-0.8770580193070106,1
20240611FKO03,19,2,1,3.0,3.0,50.0,2,1,-0.4103226584319114,-0.5261120888627332,0.8299314083422334,0.9575594030723652,-0.4698454815989217,1.1811811099082867,-0.6085806194501964,1
20240611FKO04,19,3,1,3.0,3.0,50.0,2,1,-0.3991773034890645,-0.5692500189612385,-0.1878741945920259,-0.3204071428144096,1.2886066540413947,-0.630554012608383,-0.0569433240428497,1
20240611FKO05,19,4,1,2.0,2.0,50.0,2,1,0.2074423048186492,0.0999674767984461,0.5335884153300248,0.3019123253916953,-1.5431865268341172,-1.0881636943335726,-1.0259783520851606,1
20240611FKO06,19,5,1,3.0,3.0,50.0,2,1,0.1136471280342584,0.0100536615189834,-0.4782028397901783,0.263478251252781,1.5116123634024354,-0.7718466489153415,-1.2841415840331554,1
20240611FKO07,19,6,1,2.0,2.0,50.0,2,1,-0.5240907975846655,-0.8873585029780198,-1.4813505004442478,-0.8000533352634837,1.8277421222026224,1.3917024000428242,-1.5651375459974075,1
20240611FKO08,19,7,1,2.0,2.0,50.0,0,1,1.0520909540983896,0.90927546524692,1.275738255547551,1.0169776413706406,-0.4557889703007672,1.1057988329247477,-1.0439078454267492,1
20240611FKO09,19,8,1,2.0,2.0,50.0,1,1,1.557267983396177,1.541269952641348,0.4060062091308009,0.2934774145065659,1.6036360238388565,0.4012222727375692,0.0462843934046563,1
20240611FKO10,19,9,1,2.0,2.0,50.0,1,1,0.4810127443742187,0.6791351791130673,0.5070733611008797,0.563327559665842,0.8299714475379618,0.6972172442579078,0.664211164155058,1
20240611FKO11,19,10,1,2.0,2.0,50.0,0,1,-1.1306516710478682,-1.6615074101531586,0.3708506472988778,-0.1979244115426958,0.0255021950797602,-0.5112429564878492,0.3018163637195697,1
20240611FKO12,19,11,1,2.0,2.0,50.0,0,0,1.496838947737663,1.5432868690465569,0.5056498968474331,0.092614320833712,-0.3244671602905956,-0.4284389053915517,-1.771229771080204,1
20240611TKY01,13,0,8,1.0,1.0,45.0,1,1,1.3299667512468232,1.193773697206655,0.5140998048240575,0.2552884353629833,-0.8968652080586162,0.6094893055609899,-1.5965183723905354,1
20240611TKY02,13,1,8,1.0,1.0,45.0,0,1,0.861360017640654,1.201927388870617,0.2608550679414382,0.2694759707124628,0.5751746052713833,1.3620646287125415,-0.0694042915388282,1
20240611TKY03,13,2,8,1.0,1.0,45.0,1,1,1.506516140065438,1.5690753069043684,1.054400756826638,1.093660033282173,-0.2762248077525582,-0.4680020998647344,0.413340981618178,1
20240611TKY04,13,3,8,2.0,2.0,45.0,1,1,1.0557329789687846,1.0249410694818124,1.3184231993501712,1.483100651455992,0.4844924863070026,-0.0498254609414664,0.5535093034625518,1
20240611TKY05,13,4,1,2.0,2.0,45.0,1,1,0.0301333569302482,-0.2789195019726209,0.1743500405073308,0.3498362281468659,-0.8007237488382978,0.3280658423297187,0.96583426160782,1
20240611TKY06,13,5,2,1.0,1.0,45.0,2,0,-0.4743839837197303,-0.428681876738651,-1.0511834960537576,-1.1743124012124977,-0.6396021490668312,-1.1926279365677648,-0.8391463916782725,1
20240611TKY07,13,6,8,1.0,1.0,45.0,2,1,-1.3327462533264989,-1.0924112230770142,-1.277209935858519,-1.256894016399158,0.7549605098152294,1.1696806439522152,-0.858756733215909,1
20240611TKY08,13,7,2,2.0,2.0,45.0,2,1,0.0582703465112591,-0.1088757745457827,-0.1263252015873175,0.2474318717719696,0.6611472913519307,1.3335154733575054,-1.7789201674120647,1
20240611TKY09,13,8,2,2.0,2.0,45.0,2,1,-0.1978496892161114,-0.4084193346310231,0.3577853960272689,0.2389341097695985,0.4889299465873397,-0.0115268983124394,-0.3702180485994495,1
20240611TKY10,13,9,2,2.0,2.0,45.0,2,0,-1.1015651079191042,-1.166902055540344,-0.7260676314853893,0.9196206220512896,-0.8463839884960654,0.370647241162332,-0.5536102382055528,1
20240611TKY11,13,10,2,3.0,3.0,45.0,2,1,0.0089720204191069,0.2424240195452164,-1.6209217376976626,-1.211353226888518,-0.5976143046671969,0.9231398753607956,0.2318694478800866,1
20240611TKY12,13,11,2,2.0,2.0,45.0,0,1,1.5691028990539702,1.5108650692502616,0.5842648292268123,0.6707954399190468,0.8769011548023367,-0.7747150493090509,-0.696113576461965,1
20240611MYJ01,9,0,5,3.0,3.0,40.0,0,1,-1.3689500911902637,-0.4268465354427174,1.1794504584495675,0.9974529689912232,-0.7881409374386996,0.0777590967439984,0.5326236412913257,1
20240611MYJ02,9,1,4,2.0,2.0,40.0,0,0,-1.1714432491115283,-0.6453077976815338,-0.1260464783764944,0.3540776216575363,0.9036547824607408,0.871288321578009,0.5083687820523601,1
